"","RMSE_f_1","RMSE_f_2","RMSE_f_3","RMSE_f_4","RMSE_f_5","RMSE_f_6","RMSE_f_7","RMSE_f_8","RMSE_f_9","RMSE_f_10","RMSE_f_11","RMSE_f_12","RMSE_f_13","RMSE_f_14","RMSE_f_15","RMSE_f_16","RMSE_f_17","RMSE_f_18","RMSE_f_19","RMSE_f_20","RMSE_f_21","RMSE_f_22","RMSE_f_23","RMSE_f_24"
"Simul_1",0.00452650902002727,0.00693850733887769,0.0143167845099157,0.0212316375480395,0.0263902937940507,0.0313096272118885,0.0350019375190166,0.0382104469948117,0.0415476520063908,0.0450753155475314,0.0486012973571188,0.0522555141131916,0.0560825558611137,0.0603699262047235,0.0655119839576303,0.0711633662577006,0.0766156596091774,0.0816414801497571,0.0859383155331853,0.0897598497653011,0.0933343080092838,0.0968345538365026,0.100184501400604,0.103299762774186
"Simul_2",0.00154800259613808,0.00890969166928767,0.0153655514553812,0.0191777206430907,0.0235371876852421,0.0269938808255313,0.0289865603934071,0.0313479931120566,0.0342299423106625,0.0371331129491618,0.0399267318840344,0.0428987139273985,0.0465253646851846,0.0510162272178537,0.0561695896574462,0.0610767002600105,0.0656073199368393,0.0695485075832254,0.0728162168746044,0.075836798978609,0.0787524330127278,0.0814275503409992,0.0838319859482007,0.0861816194015431
"Simul_3",0.00995967688503807,0.0160139425165178,0.0191970622394138,0.0232370287138446,0.0263857356713931,0.0280745908035738,0.0301815679795771,0.0328799742960719,0.0356221349707353,0.0382620973651056,0.0410843391071852,0.0445974536153264,0.0490521526258982,0.0542039889131014,0.0590864845028672,0.0635761908932713,0.0674422100266647,0.0706189061616596,0.0735412685617136,0.0763609231031627,0.0789370270444421,0.081226765887849,0.0834559461726938,0.0855834755458155
"Simul_4",0.00365589444604542,0.00356362517621635,0.0060911302913831,0.00784997622452482,0.00816456846342354,0.0094682646913054,0.0118491802286992,0.0143578952971392,0.0167815492781256,0.0195226819122782,0.0231822471343522,0.0279424305539201,0.0334261304489536,0.0384194948556246,0.0428676345433281,0.0465787295861495,0.04950068604763,0.0521705190941463,0.0547512538555152,0.0570834722523007,0.0591392101043645,0.0611621218302896,0.0630987837047445,0.0651726917078621
"Simul_5",0.00265344770998777,0.00227336059768416,0.00270238493595924,0.00234656392282556,0.00316087287760658,0.00567697834994638,0.00815408868174195,0.0105112397904932,0.0133081855534894,0.0171904309539437,0.0221837231445643,0.0278641380355252,0.0328925233121202,0.0372926496386047,0.0408973109726807,0.0436648853592514,0.0461930675357635,0.0486464795336292,0.050854445154299,0.0528020883746143,0.054736032344021,0.0565958883027575,0.0586064560690152,0.0608955598280042
"Simul_6",0.00583499525300102,0.00704874327660979,0.00665342162001679,0.00769877252706416,0.0101234256087378,0.0125772995247017,0.01485517460126,0.0174522973603789,0.0210931337396809,0.0259438326653042,0.0315212173784221,0.0364768950181134,0.0407995895487317,0.0442942196578435,0.0469590884442524,0.049357630505312,0.0516700707475339,0.0537322310027039,0.0555007672704226,0.0572319980033413,0.0588766134540551,0.060677917694127,0.0627539842459939,0.0647643894420749
"Simul_7",0.00196984049536386,0.00507579653329334,0.00468924998094878,0.00413248775980673,0.0043858758309851,0.00530514388825863,0.00715354388224989,0.0105692693444346,0.015490527563391,0.0211386453745956,0.0259227862468849,0.0299642150346123,0.0331177710555293,0.0353958369840857,0.0374376790578675,0.0394391260418857,0.0412129252129536,0.0427150936542041,0.044193913370606,0.0456001975212119,0.0471944696988982,0.0491049535945051,0.0509587769901772,0.052786121077281
"Simul_8",0.00347452788631397,0.00245802615713063,0.00396185923110673,0.00603349335295012,0.00795600112613188,0.0103739365288052,0.0141688957505895,0.0193971429773256,0.0252957570047051,0.0302934501566492,0.0344988765266528,0.0377587280872444,0.0401201050246936,0.0422195350597215,0.0442557559184996,0.0460501280618818,0.0475438069846035,0.0490135296831818,0.0504068676779926,0.0519828403325839,0.0538705375917788,0.0556997552713575,0.057495727411717,0.0591651155062978
"Simul_9",0.00607732563346541,0.0104490367781193,0.0136931972370431,0.0163387435330585,0.0192797315944366,0.0234428987510598,0.0289925350140217,0.0352243148135908,0.0405742546591546,0.0451073382297879,0.0486519094338139,0.0512597817294085,0.0535886217065841,0.0558420318977027,0.0578451699116669,0.059532116442115,0.0611874888815856,0.0627596405231568,0.0645112298486633,0.0665757321072876,0.0685795931387906,0.0705483719841595,0.0723882541309932,0.0740466048296241
"Simul_10",0.00248257118445316,0.00342893890397073,0.00432104034643935,0.00608774587813859,0.0097797030889558,0.0151261099121087,0.0210645626069246,0.0257873881829527,0.0296037924035569,0.0323784504554436,0.0342081549362981,0.0357966270782263,0.0373510045750638,0.0386673891235342,0.0396853848419791,0.0407028843034638,0.0416577073233408,0.0428215723480175,0.0443238856590045,0.045771012841616,0.0471910168497073,0.0484810430666933,0.0495795057607146,0.0504709001369701
