"","RMSE_f_1","RMSE_f_2","RMSE_f_3","RMSE_f_4","RMSE_f_5","RMSE_f_6","RMSE_f_7","RMSE_f_8","RMSE_f_9","RMSE_f_10","RMSE_f_11","RMSE_f_12","RMSE_f_13","RMSE_f_14","RMSE_f_15","RMSE_f_16","RMSE_f_17","RMSE_f_18","RMSE_f_19","RMSE_f_20","RMSE_f_21","RMSE_f_22","RMSE_f_23","RMSE_f_24"
"Simul_1",0.161732053134935,0.158129167767727,0.151639077397793,0.144591290355137,0.139769277568195,0.132421895282512,0.131254724201317,0.122299906588371,0.122541635824941,0.120535027986896,0.115026452306513,0.104332904722203,0.10501816526996,0.105240872514149,0.104813042739281,0.103727251034931,0.102019967277012,0.0998846819754962,0.0970805336754857,0.0932085353462447,0.0882521379534363,0.0813614181488331,0.0716195582817336,0.0589903089489894
"Simul_2",0.154525074436655,0.146535786442327,0.138727311074402,0.13241559312415,0.127654532426511,0.120874352309495,0.120204023680665,0.111886433500343,0.111890809360679,0.110032115182787,0.105061104178313,0.0945880696033852,0.0952547059916249,0.0954343331289624,0.0951407995983347,0.0943089382069026,0.0927561692798115,0.0906031907745651,0.0879434551983401,0.0844605808746998,0.079726279839164,0.0735731865978812,0.0646208174711091,0.0514821206470237
"Simul_3",0.138293984637689,0.130474542606347,0.124633374953443,0.118798301906742,0.114826255589231,0.109358266270154,0.108696493079991,0.10099154318399,0.10103623175047,0.0990393796760363,0.0942839668736737,0.0844264965148075,0.0852517807903062,0.0855259325175447,0.0853636956863556,0.0847748183591792,0.0835043368503005,0.0814961545311067,0.0787854443129609,0.0754451438849205,0.0711127402672363,0.0650818281351773,0.0568085140705289,0.0442797803420205
"Simul_4",0.122387916205624,0.117555470243087,0.111995632487814,0.107196045809221,0.104177802081299,0.099373554606012,0.0983433194008495,0.0911837106081743,0.091479451139396,0.0893324745653424,0.0845758010057614,0.0747983696010432,0.0760619547819168,0.0767284020450667,0.07678353606794,0.076369397870761,0.0753694274295184,0.0737051829964391,0.0712218360897683,0.0678709687084372,0.0636999592316148,0.0581719352552611,0.0500779019262109,0.0385482181635216
"Simul_5",0.112670468965028,0.106711312515949,0.102014369296402,0.0983967605627686,0.0955573155141035,0.0906261167655313,0.0894728009084487,0.0826859760955453,0.0831095411629887,0.0809604960306989,0.0757065222495929,0.0659765777466883,0.0676693406807336,0.0689368352658991,0.069445008132542,0.0692649447607166,0.0684878587758558,0.0672064047778449,0.0651804008702632,0.0621039573364686,0.0579830948380344,0.0527656573909128,0.0455455711036017,0.0348069617854669
"Simul_6",0.100615301207679,0.096576628571066,0.0935476207592727,0.0901181711832705,0.0871196178152222,0.0820820364196111,0.0812535186391322,0.0745431768360581,0.0748459710430446,0.0727238665020965,0.0671512058349579,0.0576163019224914,0.0595836885298361,0.0613338142305963,0.0624703823036007,0.0628088020295418,0.0623589941959646,0.0613710319946406,0.0597436053661306,0.0572068452510127,0.0534853806988034,0.0485210914923191,0.042046861125607,0.0328384560986317
"Simul_7",0.0925203822386347,0.0900400850773495,0.086648492981471,0.0825779607474002,0.0794735789021308,0.0745237118068025,0.0740234688435743,0.066760947117172,0.067186114887802,0.0652263345563889,0.0600215454317336,0.0502531797203895,0.0523955642321922,0.0543986547279221,0.0560809508789698,0.0572000866184241,0.0573704356093654,0.0567123237205011,0.0554471385363893,0.0534661885350804,0.0506045614997976,0.0465550270698846,0.040743126547255,0.0329807164379899
"Simul_8",0.0875921652400876,0.0837681155094371,0.0793144844979671,0.0749584372628792,0.0720397049832786,0.0671876606645887,0.0665655514665091,0.0586054762334055,0.0598721507357265,0.0582203974980276,0.0536356277585553,0.0436443094107692,0.0458781788566026,0.0480970165722394,0.0501559743563822,0.0519078182495462,0.0528460594797267,0.052875769594719,0.0520600518447956,0.0506864135233192,0.0488134635609357,0.0459217374441072,0.0413038245720098,0.0347396420888012
"Simul_9",0.0799369107845964,0.0751695356927341,0.0707189565888568,0.0668424270023999,0.0641413236525717,0.0589260025694604,0.0582020728005911,0.0500724451291622,0.052471092631493,0.0515164311764461,0.0473266267210444,0.0375994748473067,0.0399729437474087,0.0424338593068804,0.0447609279524625,0.0468027424153516,0.0483962142819481,0.0493250973300255,0.0494501175972426,0.0489057183622077,0.0477916265533955,0.0459426372005929,0.0426615110418675,0.0376342280155133
"Simul_10",0.0703327030342739,0.0660596088644262,0.0624279225191588,0.0588966753902638,0.0559676513861503,0.0500193193547406,0.0501843657689207,0.0422108974755444,0.045439819932494,0.0457432268041276,0.0418665482457211,0.0328294355107601,0.035445664523325,0.0380807646958998,0.0404798150219909,0.0427575481173976,0.0447077463326229,0.0465247402375147,0.0479400237566184,0.048444138615633,0.0481185501972219,0.0470448400645749,0.0448824901649591,0.0414085190696851
